time,lat(N),lon(E),alt
164027,4223.7291,-7104.8757,9.8
164028,4223.7253,-7104.8748,9.9
164029,4223.7216,-7104.8739,10
164030,4223.7178,-7104.873,10.1
164031,4223.7136,-7104.8719,10.2
164032,4223.7091,-7104.8707,10.4
164033,4223.7042,-7104.8693,10.5
164034,4223.6993,-7104.8677,10.7
164035,4223.6948,-7104.8663,10.9
164036,4223.6904,-7104.8654,11.4
164037,4223.6857,-7104.8644,11.6
164038,4223.6807,-7104.8632,11.8
164039,4223.6754,-7104.8618,11.8
164040,4223.6699,-7104.8603,11.8
164041,4223.6643,-7104.8589,11.8
164042,4223.6583,-7104.8574,11.7
164043,4223.6522,-7104.8558,11.6
164044,4223.6461,-7104.8541,11.4
164045,4223.6404,-7104.8526,11.4
164046,4223.6349,-7104.8514,12
164047,4223.6296,-7104.85,12.4
164048,4223.6245,-7104.8486,12.5
164049,4223.6194,-7104.8471,12.7
164050,4223.6145,-7104.8457,12.8
164051,4223.6098,-7104.8443,12.8
164052,4223.6052,-7104.843,12.8
164053,4223.6008,-7104.8417,12.9
